url_prov,total_hotels,url,kabko,kabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3187,1,/city/hutan-id.html,Hutan,734906
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,688,/city/makassar-id.html,Makassar,23732
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,34,/city/tanete-id.html,Tanete,702284
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,29,/city/rantepao-id.html,Rantepao,513025
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,20,/city/parepare-id.html,Parepare,292837
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,14,/city/tana-toraja-id.html,Tana Toraja,19626
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,12,/city/malino-id.html,Malino,390126
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,9,/city/palopo-id.html,Palopo,709496
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,4,/city/bone-id.html,Bone,161787
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,2,/city/biringkanya-id.html,Biringkanya,710274
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,2,/city/kalegowa-id.html,Kalegowa,734883
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,2,/city/bonto-lempangan-id.html,Bonto Lempangan,734890
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,2,/city/patikarya-id.html,Patikarya,734889
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,2,/city/bontobangun-id.html,Bontobangun,734886
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,1,/city/anggrek-id.html,Anggrek,161780
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,1,/city/macanang-id.html,Macanang,734881
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3184,1,/city/tanah-kongkong-id.html,Tanah Kongkong,734882
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,3,/city/ambarawa-id.html,Ambarawa,710183
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,2,/city/sumberejo-id.html,Sumberejo,734746
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,2,/city/batang-id.html,Batang,709813
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,2,/city/samiran-id.html,Samiran,734747
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,2,/city/jati-id.html,Jati,161723
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/demak-id.html,Demak,161720
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/temanggung-id.html,Temanggung,161742
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/blora-id.html,Blora,706227
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/sudimoro-id.html,Sudimoro,734752
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/karangturi-id.html,Karangturi,734755
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=8&objectId=3168,1,/city/banyubiru-id.html,Banyubiru,734751
