url_kabko,total_hotels,url,subkabko,subkabko_id
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,318,/kuta/maps/lombok-id.html,Kuta,26868
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,279,/senggigi/maps/lombok-id.html,Senggigi,26875
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,254,/gili-air/maps/lombok-id.html,Gili Air,94529
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,210,/mataram/maps/lombok-id.html,Mataram,34403
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,104,/gili-meno/maps/lombok-id.html,Gili Meno,94506
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,61,/sikur/maps/lombok-id.html,Sikur,514963
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,50,/medana/maps/lombok-id.html,Medana,94035
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,47,/tanjung-ringgit/maps/lombok-id.html,Tanjung Ringgit,494531
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,36,/sembalun/maps/lombok-id.html,Sembalun,502520
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,25,/senaru/maps/lombok-id.html,Senaru,483081
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,16,/sekotong/maps/lombok-id.html,Sekotong,94149
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,14,/gili-gede/maps/lombok-id.html,Gili Gede,567122
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,11,/praya/maps/lombok-id.html,Praya,502677
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,10,/lingsar/maps/lombok-id.html,Lingsar,94150
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,4,/selebung/maps/lombok-id.html,Selebung,483079
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,4,/bumbang-beach/maps/lombok-id.html,Bumbang Beach,483085
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,4,/gili-asahan/maps/lombok-id.html,Gili Asahan,583543
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,4,/selong/maps/lombok-id.html,Selong,519620
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,3,/pelangan/maps/lombok-id.html,Pelangan,519621
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,3,/east-lombok/maps/lombok-id.html,East Lombok,483080
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,3,/gangga/maps/lombok-id.html,Gangga,514965
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=16842,1,/gili-sudak/maps/lombok-id.html,Gili Sudak,514964
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734830,9,/selong-belanak/maps/selong-belanak-id.html,Selong Belanak,590457
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734823,14,/huu/maps/huu-id.html,Huu,590449
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734826,4,/buwun-mas/maps/buwun-mas-id.html,Buwun Mas,590452
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734836,4,/sapit/maps/sapit-id.html,Sapit,590463
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734845,6,/sekongkang-bawah/maps/sekongkang-bawah-id.html,Sekongkang Bawah,590473
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734831,6,/setanggor/maps/setanggor-id.html,Setanggor,590458
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734841,4,/beru/maps/beru-id.html,Beru,590469
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734844,3,/pasir-putih/maps/pasir-putih-id.html,Pasir Putih,590472
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734822,1,/poja/maps/poja-id.html,Poja,590448
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734824,1,/lembar/maps/lembar-id.html,Lembar,590450
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=719278,4,/moyo-island/maps/moyo-island-id.html,Moyo Island,567605
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734842,1,/maluk/maps/maluk-id.html,Maluk,590470
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734829,1,/mangkung/maps/mangkung-id.html,Mangkung,590456
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734843,1,/mantun/maps/mantun-id.html,Mantun,590471
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,608,/depok/maps/yogyakarta-id.html,Depok,62099
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,528,/yogyakarta-city-center/maps/yogyakarta-id.html,Yogyakarta City Center,26649
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,488,/ngaglik/maps/yogyakarta-id.html,Ngaglik,485359
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,326,/bantul/maps/yogyakarta-id.html,Bantul,484122
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,256,/kota-gede/maps/yogyakarta-id.html,Kota Gede,484123
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,204,/kaliurang/maps/yogyakarta-id.html,Kaliurang,93518
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,160,/yogyakarta-airport/maps/yogyakarta-id.html,Yogyakarta Airport,93450
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,135,/kota-baru/maps/yogyakarta-id.html,Kota Baru,484118
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,111,/sinduadi/maps/yogyakarta-id.html,Sinduadi,484125
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,98,/banguntapan/maps/yogyakarta-id.html,Banguntapan,514869
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,84,/kasihan/maps/yogyakarta-id.html,Kasihan,519644
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,69,/godean/maps/yogyakarta-id.html,Godean,484124
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,61,/parangtritis/maps/yogyakarta-id.html,Parangtritis,94045
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,61,/wirobrajan/maps/yogyakarta-id.html,Wirobrajan,484116
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,58,/sleman/maps/yogyakarta-id.html,Sleman,485358
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,30,/prambanan/maps/yogyakarta-id.html,Prambanan,485360
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,17,/srandakan/maps/yogyakarta-id.html,Srandakan,499732
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,15,/wonosari/maps/yogyakarta-id.html,Wonosari,507594
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=14018,1,/gunung-kidul/maps/yogyakarta-id.html,Gunung Kidul,507595
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734846,1,/kuang/maps/kuang-id.html,Kuang,590474
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734937,31,/hargowilis/maps/hargowilis-id.html,Hargowilis,590443
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734939,22,/pagerharjo/maps/pagerharjo-id.html,Pagerharjo,590445
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=734940,4,/sendangagung/maps/sendangagung-id.html,Sendangagung,590446
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161717,23,/kemadang/maps/bedoyo-id.html,Kemadang,590436
https://www.agoda.com/api/cronos/geo/NeighborHoods?pageTypeId=5&objectId=161717,10,/tepus/maps/bedoyo-id.html,Tepus,590440
